update_index,global_steps,avg_policy_loss,avg_value_loss,avg_entropy,avg_kl,entropy_coef,learning_rate,recent_avg_return
1,1024,0.0015871239205201466,0.8358378012975057,1.9782434701919556,0.013257343425518937,0.0095392,0.0003,3.351040980698677
2,2048,-0.002539904255952154,0.2796710250633104,2.0296943187713623,0.006989477534911462,0.0090784,0.0003,4.172346690476994
3,3072,-0.00347895547747612,0.15025094524025917,1.9944155116875966,0.001625814475119114,0.0086176,0.0003,4.000742030450415
4,4096,-0.005067015532404184,0.09204452733198802,2.0084922313690186,0.010242648500328263,0.0081568,0.0003,4.195349041393361
5,5120,-0.010568251755709449,0.06887098991622527,1.9685997764269512,0.003993436538924773,0.007696,0.0003,3.7957129733650192
6,6144,0.0059379901116093,0.06826669039825599,1.9550135135650635,0.007531498636429508,0.007235200000000001,0.0003,4.07923579195281
7,7168,-0.0023505219724029303,0.04182462580502033,1.9319441517194111,0.008435448631644249,0.0067744,0.00015,4.103253770941625
8,8192,-0.003566799142087499,0.10016546522577603,1.9054400026798248,0.0004914956710611781,0.006313599999999999,0.00015,4.055309876918629
9,9216,-0.0023269375475744405,0.10348700980345409,1.9085748791694641,0.0053268626021842165,0.0058528,0.00015,4.033738621391897
10,10240,-0.004992597922682762,0.07806703224778175,1.886633288860321,0.003594662807881832,0.005391999999999999,0.00015,3.6960194353933815
11,11264,-0.00019407117118438086,0.03867744281888008,1.877411385377248,0.008081056953718265,0.004931199999999999,7.5e-05,4.2937554174785015
12,12288,-0.0027238543843850493,0.09943227345744769,1.8836178183555603,0.0032651053431133428,0.0044704,7.5e-05,4.118974158421323
13,13312,-0.0018320127079884212,0.1371509712189436,1.8916107813517253,0.0017494569765403867,0.0040095999999999994,7.5e-05,3.5988099354555048
14,14336,-0.0017819255590438843,0.060248304468890033,1.8905064066251118,0.002259712239416937,0.0035487999999999995,7.5e-05,3.839685854198538
15,15360,8.293505137165388e-06,0.3251422395308812,1.8629011611143749,6.352780231585105e-05,0.0030879999999999996,3.75e-05,3.5285816147812397
16,16384,-0.0014452841132879257,0.15072520698110262,1.8668268024921417,0.00037307948029289645,0.002627199999999999,3.75e-05,3.650931563008754
17,17408,-0.0012056412330518167,0.23901667694250742,1.9064130187034607,0.00027458850915233296,0.002166399999999999,3.75e-05,3.7530518151972174
18,18432,-0.0012288414873182774,0.12030135964353879,1.8991155723730724,0.002026230484868089,0.0017055999999999998,3.75e-05,3.6147686575681646
19,19456,-0.007359693370138605,0.1532211552063624,1.88257430990537,0.00848520512226969,0.001244799999999999,3.75e-05,2.4766504563817064
20,20000,-0.014641572527276972,0.14308360094825426,1.89158433675766,0.009543702006340027,0.0009999999999999992,3.75e-05,3.7537659466815136
